symbol,timeframe,bb_period,bb_std,rsi_confirm,adx_filter,tp_type,sl_pct,trades,win_rate,total_pnl,profit_factor
SOL,5m,14,1.5,None,None,mid_bb,1.5%,855,0.6444444444444445,-1.1582954866081638,0.7627372305904512
SOL,5m,14,1.5,None,None,mid_bb,2.0%,595,0.6941176470588235,-0.5819704829712224,0.8447804490743646
SOL,5m,14,1.5,None,None,mid_bb,3.0%,399,0.7669172932330827,0.4664634890179206,1.165006837718969
SOL,5m,14,1.5,None,None,1%,1.5%,792,0.5618686868686869,-1.594232499999939,0.7139121341258614
SOL,5m,14,1.5,None,None,1%,2.0%,623,0.6404494382022472,-1.150284999999966,0.75615709767411
SOL,5m,14,1.5,None,None,1%,3.0%,451,0.7361419068736141,-0.7279449999999762,0.803042253063837
SOL,5m,14,1.5,None,None,2%,1.5%,457,0.3938730853391685,-1.0391924999999633,0.7663881565673807
SOL,5m,14,1.5,None,None,2%,2.0%,358,0.49162011173184356,-0.49923999999998203,0.8697426370828072
SOL,5m,14,1.5,None,None,2%,3.0%,266,0.5827067669172933,-0.511804999999987,0.8515403481138915
SOL,5m,14,1.5,None,None,3%,1.5%,347,0.29394812680115273,-0.9825874999999693,0.7502635342886926
SOL,5m,14,1.5,None,None,3%,2.0%,256,0.375,-0.5911899999999876,0.8245445857793271
SOL,5m,14,1.5,None,None,3%,3.0%,181,0.4585635359116022,-0.641754999999991,0.7891550827438731
SOL,5m,14,1.5,None,ADX<25,mid_bb,1.5%,725,0.7062068965517241,-1.040058096254707,0.693086836169055
SOL,5m,14,1.5,None,ADX<25,mid_bb,2.0%,626,0.7635782747603834,-0.8379244349136559,0.7274920560036866
SOL,5m,14,1.5,None,ADX<25,mid_bb,3.0%,475,0.8273684210526315,-0.5269820525980388,0.7905362935287044
SOL,5m,14,1.5,None,ADX<25,1%,1.5%,482,0.5912863070539419,-0.6158674999999633,0.8053400762529489
SOL,5m,14,1.5,None,ADX<25,1%,2.0%,394,0.6370558375634517,-0.76769499999998,0.7450881754277674
SOL,5m,14,1.5,None,ADX<25,1%,3.0%,295,0.6677966101694915,-1.2827849999999856,0.5785774358233123
SOL,5m,14,1.5,None,ADX<25,2%,1.5%,286,0.4125874125874126,-0.46314499999997283,0.8283494274855223
SOL,5m,14,1.5,None,ADX<25,2%,2.0%,241,0.47717842323651455,-0.47544999999998816,0.8208296591071862
SOL,5m,14,1.5,None,ADX<25,2%,3.0%,184,0.5434782608695652,-0.7149999999999906,0.7259591429995054
SOL,5m,14,1.5,None,ADX<25,3%,1.5%,218,0.3302752293577982,-0.2611849999999786,0.8886112064756004
SOL,5m,14,1.5,None,ADX<25,3%,2.0%,182,0.4175824175824176,-0.032959999999991746,0.9852356208564809
SOL,5m,14,1.5,None,ADX<25,3%,3.0%,136,0.4485294117647059,-0.5640699999999931,0.7578501132253694
SOL,5m,14,1.5,None,ADX<35,mid_bb,1.5%,836,0.6842105263157895,-0.9743720670264759,0.7693068157347949
SOL,5m,14,1.5,None,ADX<35,mid_bb,2.0%,644,0.7437888198757764,-0.5029886826680365,0.854365671905348
SOL,5m,14,1.5,None,ADX<35,mid_bb,3.0%,467,0.8137044967880086,0.027137123941639127,1.0101596898512464
SOL,5m,14,1.5,None,ADX<35,1%,1.5%,637,0.5667189952904239,-1.2050949999999503,0.7281192751622226
SOL,5m,14,1.5,None,ADX<35,1%,2.0%,511,0.6301369863013698,-1.1015399999999707,0.7232499302811186
SOL,5m,14,1.5,None,ADX<35,1%,3.0%,383,0.7232375979112271,-0.8159349999999788,0.7521686966558396
SOL,5m,14,1.5,None,ADX<35,2%,1.5%,380,0.4131578947368421,-0.6076674999999682,0.8303219712967236
SOL,5m,14,1.5,None,ADX<35,2%,2.0%,308,0.4772727272727273,-0.606259999999984,0.8211954710481576
SOL,5m,14,1.5,None,ADX<35,2%,3.0%,234,0.6068376068376068,-0.1679399999999888,0.9412287578039739
SOL,5m,14,1.5,None,ADX<35,3%,1.5%,288,0.2986111111111111,-0.7551149999999726,0.7672325701471215
SOL,5m,14,1.5,None,ADX<35,3%,2.0%,224,0.38392857142857145,-0.4172899999999873,0.8564148619168584
SOL,5m,14,1.5,None,ADX<35,3%,3.0%,160,0.4875,-0.2895099999999913,0.886326692476229
SOL,5m,14,1.5,RSI(14)<30/>70,None,mid_bb,1.5%,373,0.5308310991957105,-0.5218431890398076,0.8143053836342817
SOL,5m,14,1.5,RSI(14)<30/>70,None,mid_bb,2.0%,306,0.6176470588235294,-0.13717454414239758,0.9443233158361385
SOL,5m,14,1.5,RSI(14)<30/>70,None,mid_bb,3.0%,215,0.6744186046511628,0.376443409595593,1.1731602281530449
SOL,5m,14,1.5,RSI(14)<30/>70,None,1%,1.5%,404,0.5717821782178217,-0.7130224999999724,0.7433405175323039
SOL,5m,14,1.5,RSI(14)<30/>70,None,1%,2.0%,352,0.625,-0.8130099999999826,0.7075166925689347
SOL,5m,14,1.5,RSI(14)<30/>70,None,1%,3.0%,288,0.7430555555555556,-0.3851299999999839,0.8324188375968775
SOL,5m,14,1.5,RSI(14)<30/>70,None,2%,1.5%,315,0.4031746031746032,-0.6137449999999768,0.7967055261767644
SOL,5m,14,1.5,RSI(14)<30/>70,None,2%,2.0%,265,0.49433962264150944,-0.3408699999999877,0.8792029314206374
SOL,5m,14,1.5,RSI(14)<30/>70,None,2%,3.0%,212,0.6320754716981132,0.1153300000000098,1.047608432715373
SOL,5m,14,1.5,RSI(14)<30/>70,None,3%,1.5%,249,0.3333333333333333,-0.2637299999999809,0.9010655717718268
SOL,5m,14,1.5,RSI(14)<30/>70,None,3%,2.0%,208,0.3894230769230769,-0.33034499999999,0.876479298237746
SOL,5m,14,1.5,RSI(14)<30/>70,None,3%,3.0%,162,0.5370370370370371,0.18837000000000725,1.080870657178739
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,mid_bb,1.5%,167,0.5389221556886228,-0.21270933451215185,0.8279777889103088
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,mid_bb,2.0%,157,0.5859872611464968,-0.35224926846209864,0.7426526966092923
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,mid_bb,3.0%,134,0.7164179104477612,0.03032826885044132,1.0256984382206153
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,1%,1.5%,168,0.5773809523809523,-0.2730024999999882,0.7605488030839019
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,1%,2.0%,157,0.5987261146496815,-0.48630999999999147,0.6334134887192032
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,1%,3.0%,144,0.7222222222222222,-0.31249999999999145,0.7484281792640483
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,2%,1.5%,140,0.39285714285714285,-0.32353249999998923,0.7629802875818976
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,2%,2.0%,128,0.4296875,-0.4956999999999935,0.6775326728293505
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,2%,3.0%,105,0.5714285714285714,-0.2613049999999947,0.8130203469755065
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,3%,1.5%,124,0.2903225806451613,-0.3716349999999901,0.7370212464839866
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,3%,2.0%,113,0.3274336283185841,-0.529844999999994,0.6689296425893558
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<25,3%,3.0%,92,0.5,-0.09754999999999603,0.9317154097075446
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<35,mid_bb,1.5%,293,0.5563139931740614,-0.3334118606681168,0.8402932193288539
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<35,mid_bb,2.0%,256,0.6171875,-0.28847927320902167,0.8602112375906042
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<35,mid_bb,3.0%,200,0.715,0.09180897426366669,1.0518620053402852
SOL,5m,14,1.5,RSI(14)<30/>70,ADX<35,1%,1.5%,287,0.5644599303135889,-0.5591124999999784,0.7214663167845142
SOL,5m,20,1.5,None,ADX<25,1%,2.0%,404,0.6460396039603961,-0.6782649999999789,0.7747832554680119
SOL,5m,20,1.5,None,ADX<25,1%,3.0%,313,0.7156549520766773,-0.7617049999999834,0.7244427481744556
SOL,5m,20,1.5,None,ADX<25,2%,1.5%,287,0.3797909407665505,-0.7942099999999724,0.7221818003735989
SOL,5m,20,1.5,None,ADX<25,2%,2.0%,238,0.46638655462184875,-0.5722199999999884,0.7860579888957475
SOL,5m,20,1.5,None,ADX<25,2%,3.0%,188,0.5531914893617021,-0.6392899999999905,0.7549739945651167
SOL,5m,20,1.5,None,ADX<25,3%,1.5%,220,0.31363636363636366,-0.4282974999999776,0.8233906674432709
SOL,5m,20,1.5,None,ADX<25,3%,2.0%,181,0.3812154696132597,-0.3618849999999917,0.846582189399788
SOL,5m,20,1.5,None,ADX<25,3%,3.0%,141,0.48936170212765956,-0.2394149999999936,0.8929395508572378
SOL,5m,20,1.5,None,ADX<35,mid_bb,1.5%,731,0.6429548563611491,-1.052585646595235,0.7459834500546351
SOL,5m,20,1.5,None,ADX<35,mid_bb,2.0%,585,0.7076923076923077,-0.6844802130198167,0.8065548251407731
SOL,5m,20,1.5,None,ADX<35,mid_bb,3.0%,423,0.789598108747045,-0.083142333873594,0.9699208123129484
SOL,5m,20,1.5,None,ADX<35,1%,1.5%,610,0.5622950819672131,-1.2214624999999504,0.7151398545338035
SOL,5m,20,1.5,None,ADX<35,1%,2.0%,482,0.6203319502074689,-1.180724999999972,0.6936245572609275
SOL,5m,20,1.5,None,ADX<35,1%,3.0%,368,0.7228260869565217,-0.7899399999999803,0.7506502525252589
SOL,5m,20,1.5,None,ADX<35,2%,1.5%,381,0.3884514435695538,-0.938722499999967,0.7491309521343942
SOL,5m,20,1.5,None,ADX<35,2%,2.0%,302,0.46688741721854304,-0.7199399999999865,0.7876652735954546
SOL,5m,20,1.5,None,ADX<35,2%,3.0%,227,0.5947136563876652,-0.30046999999998664,0.8948471719639166
SOL,5m,20,1.5,None,ADX<35,3%,1.5%,292,0.3321917808219178,-0.32434749999997203,0.8964296120670814
