symbol,timeframe,ema_fast,ema_slow,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor,max_drawdown,sharpe,avg_win,avg_loss
XAU,1h,5,100,0.015,0.03,26,16,10,0.6154,0.30241,2.883,0.048187,4.2181,0.028938,-0.01606
XAU,1h,21,100,0.02,0.04,17,10,7,0.5882,0.24191,2.6411,0.04214,3.0941,0.038932,-0.021059
XAU,1h,8,100,0.015,0.03,27,16,11,0.5926,0.286358,2.621,0.048187,3.8809,0.028938,-0.016059
XAU,1h,13,100,0.015,0.03,29,17,12,0.5862,0.299215,2.5526,0.048187,3.9036,0.028937,-0.01606
XAU,1h,5,21,0.02,0.04,19,11,8,0.5789,0.2598,2.542,0.04212,3.1329,0.038935,-0.02106
XAU,1h,13,100,0.02,0.04,19,11,8,0.5789,0.2598,2.542,0.04214,3.1329,0.038935,-0.02106
XAU,1h,8,21,0.02,0.04,19,11,8,0.5789,0.2598,2.542,0.04212,3.1329,0.038935,-0.02106
XAU,1h,8,100,0.02,0.04,21,12,9,0.5714,0.27769,2.465,0.04214,3.1777,0.038937,-0.021061
XAU,1h,8,50,0.015,0.03,28,16,12,0.5714,0.27029,2.4025,0.03212,3.5715,0.028938,-0.01606
XAU,1h,13,50,0.015,0.03,30,17,13,0.5667,0.283148,2.3562,0.048187,3.6097,0.028937,-0.016061
XAU,15m,21,34,0.02,0.04,38,21,17,0.5526,0.45971,2.2838,0.06319,3.8913,0.038943,-0.021064
XAU,15m,13,34,0.02,0.04,38,21,17,0.5526,0.45967,2.2837,0.06319,3.8911,0.038941,-0.021064
XAU,1h,5,100,0.02,0.04,20,11,9,0.55,0.23875,2.2597,0.04526,2.785,0.038935,-0.021059
XAU,1h,13,21,0.02,0.04,20,11,9,0.55,0.23875,2.2597,0.06319,2.785,0.038935,-0.021059
XAU,1h,8,34,0.02,0.04,20,11,9,0.55,0.23873,2.2595,0.04214,2.7847,0.038935,-0.021061
XAU,1h,21,100,0.015,0.03,27,15,12,0.5556,0.241305,2.2521,0.06424,3.234,0.028935,-0.01606
XAU,15m,8,34,0.02,0.04,41,22,19,0.5366,0.45651,2.1407,0.06319,3.7095,0.038942,-0.021064
XAU,15m,13,21,0.02,0.04,40,21,19,0.525,0.41757,2.0434,0.08424,3.4305,0.038941,-0.021063
XAU,1h,21,50,0.015,0.03,32,17,15,0.5312,0.251028,2.042,0.048187,3.077,0.028937,-0.01606
XAU,15m,21,50,0.02,0.04,42,22,20,0.5238,0.43546,2.0337,0.06319,3.4907,0.038942,-0.021063
XAU,15m,5,34,0.02,0.04,42,22,20,0.5238,0.43546,2.0337,0.08424,3.4907,0.038942,-0.021063
XAU,1h,21,50,0.02,0.04,21,11,10,0.5238,0.21768,2.0336,0.04214,2.4683,0.038935,-0.02106
XAU,1h,21,34,0.02,0.04,21,11,10,0.5238,0.21768,2.0336,0.04214,2.4683,0.038935,-0.02106
XAU,1h,5,50,0.02,0.04,21,11,10,0.5238,0.21768,2.0336,0.04214,2.4683,0.038935,-0.02106
XAU,1h,5,34,0.02,0.04,21,11,10,0.5238,0.21768,2.0336,0.04214,2.4683,0.038935,-0.02106
XAU,15m,8,21,0.02,0.04,39,20,19,0.5128,0.37865,1.9462,0.08424,3.1474,0.038942,-0.021063
XAU,15m,13,100,0.02,0.04,39,20,19,0.5128,0.37863,1.9461,0.06639,3.1472,0.038942,-0.021064
XAU,15m,5,100,0.02,0.04,41,21,20,0.5122,0.39652,1.9412,0.08746,3.2143,0.038943,-0.021064
XAU,15m,13,50,0.02,0.04,41,21,20,0.5122,0.3965,1.9412,0.06319,3.2143,0.038941,-0.021063
XAU,15m,8,100,0.02,0.04,41,21,20,0.5122,0.39652,1.9412,0.08746,3.2143,0.038943,-0.021064
XAU,15m,21,100,0.02,0.04,41,21,20,0.5122,0.3965,1.9411,0.08748,3.2141,0.038943,-0.021065
XAU,15m,5,34,0.015,0.03,58,30,28,0.5172,0.41852,1.9306,0.080307,3.8045,0.028942,-0.016062
XAU,1h,5,34,0.015,0.03,33,17,16,0.5152,0.234975,1.9144,0.067405,2.832,0.028937,-0.01606
XAU,1h,5,50,0.015,0.03,33,17,16,0.5152,0.234975,1.9144,0.067405,2.832,0.028937,-0.01606
XAU,15m,5,21,0.015,0.03,61,31,30,0.5082,0.41534,1.862,0.080307,3.68,0.028941,-0.016061
XAU,15m,8,21,0.015,0.03,61,31,30,0.5082,0.415325,1.8619,0.080307,3.6798,0.028941,-0.016062
XAU,1h,13,34,0.015,0.03,34,17,17,0.5,0.218923,1.8019,0.067405,2.5983,0.028937,-0.01606
XAU,15m,5,50,0.015,0.03,58,29,29,0.5,0.373483,1.8018,0.06742,3.393,0.028942,-0.016063
XAU,15m,5,21,0.02,0.04,39,19,20,0.4872,0.31864,1.7564,0.0874,2.6486,0.038941,-0.021062
XAU,15m,8,34,0.015,0.03,61,30,31,0.4918,0.370318,1.7437,0.096375,3.2809,0.028942,-0.016063
XAU,1h,8,34,0.015,0.03,35,17,18,0.4857,0.202855,1.7017,0.067405,2.3739,0.028937,-0.01606
XAU,1h,13,21,0.015,0.03,35,17,18,0.4857,0.202855,1.7017,0.067405,2.3739,0.028937,-0.01606
