symbol,timeframe,rsi_period,oversold,overbought,ema_filter,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor
SOL,1h,14,10,90,True,0.01,0.02,1,1,0,100.0,1.895,inf
XAU,1h,14,15,85,True,0.03,0.06,2,2,0,100.0,11.782,inf
SOL,1h,14,10,80,True,0.02,0.04,1,1,0,100.0,3.896,inf
DOGE,15m,14,10,85,True,0.01,0.02,1,1,0,100.0,1.895,inf
DOGE,15m,14,10,85,True,0.015,0.03,1,1,0,100.0,2.8955,inf
DOGE,15m,14,10,85,True,0.02,0.04,1,1,0,100.0,3.896,inf
DOGE,15m,14,10,85,True,0.03,0.06,1,1,0,100.0,5.897,inf
DOGE,15m,14,10,90,True,0.01,0.02,1,1,0,100.0,1.895,inf
DOGE,15m,14,10,90,True,0.015,0.03,1,1,0,100.0,2.8955,inf
DOGE,15m,14,10,90,True,0.02,0.04,1,1,0,100.0,3.896,inf
XAU,15m,14,25,90,True,0.03,0.06,5,5,0,100.0,29.461,inf
SOL,1h,14,10,80,True,0.015,0.03,1,1,0,100.0,2.8955,inf
DOGE,15m,14,10,90,True,0.03,0.06,1,1,0,100.0,5.897,inf
SOL,1h,14,10,80,True,0.01,0.02,1,1,0,100.0,1.895,inf
XAU,1h,14,20,70,True,0.02,0.04,4,4,0,100.0,15.576,inf
XAU,15m,14,25,85,True,0.03,0.06,6,6,0,100.0,35.358,inf
XAU,1h,14,15,90,True,0.03,0.06,2,2,0,100.0,11.782,inf
XAU,1h,14,20,75,True,0.02,0.04,4,4,0,100.0,15.576,inf
XAU,1h,14,20,80,True,0.02,0.04,2,2,0,100.0,7.784,inf
XAU,1h,14,20,80,True,0.03,0.06,2,2,0,100.0,11.782,inf
XAU,1h,14,25,85,True,0.02,0.04,3,3,0,100.0,11.676,inf
SOL,1h,14,10,85,True,0.015,0.03,1,1,0,100.0,2.8955,inf
XAU,1h,14,20,90,True,0.03,0.06,2,2,0,100.0,11.782,inf
XAU,1h,14,25,70,True,0.02,0.04,5,5,0,100.0,19.468,inf
XAU,1h,14,25,75,True,0.02,0.04,5,5,0,100.0,19.468,inf
XAU,1h,14,25,80,True,0.02,0.04,3,3,0,100.0,11.676,inf
XAU,1h,14,25,80,True,0.03,0.06,2,2,0,100.0,11.782,inf
XAU,1h,14,20,85,True,0.03,0.06,2,2,0,100.0,11.782,inf
XAU,1h,14,30,75,True,0.02,0.04,7,7,0,100.0,27.252,inf
SOL,1h,14,10,90,True,0.015,0.03,1,1,0,100.0,2.8955,inf
XAU,1h,14,25,85,True,0.03,0.06,2,2,0,100.0,11.782,inf
XAU,1h,14,25,90,True,0.02,0.04,3,3,0,100.0,11.676,inf
XAU,1h,14,25,90,True,0.03,0.06,2,2,0,100.0,11.782,inf
XAU,1h,14,30,70,True,0.02,0.04,7,7,0,100.0,27.252,inf
XAU,1h,14,20,85,True,0.02,0.04,2,2,0,100.0,7.784,inf
XAU,1h,14,15,90,True,0.02,0.04,2,2,0,100.0,7.784,inf
XAU,1h,14,15,85,True,0.02,0.04,2,2,0,100.0,7.784,inf
XAU,1h,14,20,90,True,0.02,0.04,2,2,0,100.0,7.784,inf
DOGE,15m,14,15,90,True,0.01,0.02,2,2,0,100.0,3.788,inf
SOL,1h,14,15,90,True,0.01,0.02,1,1,0,100.0,1.895,inf
SOL,1h,14,15,90,True,0.015,0.03,1,1,0,100.0,2.8955,inf
DOGE,15m,14,15,85,True,0.01,0.02,2,2,0,100.0,3.788,inf
XAU,1h,14,10,80,True,0.02,0.04,1,1,0,100.0,3.892,inf
XAU,15m,14,15,85,True,0.03,0.06,5,5,0,100.0,29.467,inf
XAU,1h,14,10,75,True,0.02,0.04,3,3,0,100.0,11.684,inf
XAU,15m,14,10,90,True,0.03,0.06,4,4,0,100.0,23.57,inf
XAU,1h,14,15,80,True,0.03,0.06,2,2,0,100.0,11.782,inf
XAU,1h,14,10,70,True,0.02,0.04,3,3,0,100.0,11.684,inf
XAU,15m,14,10,85,True,0.03,0.06,5,5,0,100.0,29.467,inf
DOGE,5m,14,10,90,True,0.03,0.06,1,1,0,100.0,5.897,inf
SOL,5m,14,10,90,True,0.03,0.06,2,2,0,100.0,11.788,inf
SOL,5m,14,10,90,True,0.02,0.04,2,2,0,100.0,7.788,inf
SOL,5m,14,10,90,True,0.015,0.03,3,3,0,100.0,8.6835,inf
XAU,1h,14,10,80,True,0.03,0.06,1,1,0,100.0,5.891,inf
XAU,1h,14,10,85,True,0.02,0.04,1,1,0,100.0,3.892,inf
XAU,15m,14,15,90,True,0.03,0.06,4,4,0,100.0,23.57,inf
XAU,1h,14,10,85,True,0.03,0.06,1,1,0,100.0,5.891,inf
XAU,1h,14,15,80,True,0.02,0.04,2,2,0,100.0,7.784,inf
XAU,1h,14,15,75,True,0.02,0.04,4,4,0,100.0,15.576,inf
XAU,1h,14,15,70,True,0.02,0.04,4,4,0,100.0,15.576,inf
SOL,1h,14,15,80,True,0.01,0.02,1,1,0,100.0,1.895,inf
XAU,1h,14,10,90,True,0.03,0.06,1,1,0,100.0,5.891,inf
SOL,1h,14,15,80,True,0.015,0.03,1,1,0,100.0,2.8955,inf
SOL,1h,14,15,80,True,0.02,0.04,1,1,0,100.0,3.896,inf
XAU,15m,14,20,90,True,0.03,0.06,5,5,0,100.0,29.461,inf
XAU,1h,7,20,85,True,0.02,0.04,8,8,0,100.0,31.144,inf
XAU,1h,14,10,90,True,0.02,0.04,1,1,0,100.0,3.892,inf
XAU,1h,7,20,90,True,0.02,0.04,8,8,0,100.0,31.144,inf
XAU,15m,14,20,85,True,0.03,0.06,6,6,0,100.0,35.358,inf
SOL,1h,14,15,85,True,0.01,0.02,1,1,0,100.0,1.895,inf
SOL,1h,14,15,85,True,0.015,0.03,1,1,0,100.0,2.8955,inf
