time,open,high,low,close,volume
2005-11-29,0.7418,0.7425,0.7371,0.7379,8063
2005-11-30,0.7377,0.7408,0.7368,0.7377,8117
2005-12-01,0.7376,0.7439,0.7375,0.7419,8261
2005-12-02,0.7422,0.7492,0.7413,0.748,7511
2005-12-03,0.748,0.749,0.7477,0.7479,67
2005-12-05,0.7468,0.7529,0.745,0.7515,7429
2005-12-06,0.7517,0.7545,0.7501,0.7531,7431
2005-12-07,0.7531,0.7538,0.7457,0.7477,7966
2005-12-08,0.7478,0.7518,0.7442,0.7497,8005
2005-12-09,0.7498,0.7527,0.7491,0.7502,7179
2005-12-10,0.7504,0.7515,0.7499,0.7514,50
2005-12-12,0.7489,0.7569,0.7486,0.7555,7226
2005-12-13,0.7556,0.7572,0.7522,0.7544,7748
2005-12-14,0.7545,0.7582,0.7521,0.7549,7926
2005-12-15,0.7548,0.7565,0.7456,0.7484,8424
2005-12-16,0.7486,0.7486,0.7419,0.7436,8150
2005-12-17,0.7435,0.7449,0.7433,0.7449,44
2005-12-19,0.7443,0.7472,0.7397,0.7401,7505
2005-12-20,0.7401,0.7421,0.732,0.7338,7864
2005-12-21,0.7337,0.7372,0.7319,0.733,7836
2005-12-22,0.7331,0.7347,0.73,0.7317,7752
2005-12-23,0.7313,0.7325,0.7267,0.7291,6872
2005-12-24,0.729,0.729,0.7279,0.7279,11
2005-12-26,0.7291,0.7323,0.7283,0.7302,2063
2005-12-27,0.7304,0.7317,0.7234,0.7241,6197
2005-12-28,0.7243,0.7319,0.7238,0.7289,7612
2005-12-29,0.729,0.7336,0.7272,0.7315,7480
2005-12-30,0.7316,0.7347,0.7307,0.7329,7481
2005-12-31,0.7329,0.7336,0.7315,0.7328,33
2006-01-02,0.7329,0.7354,0.7322,0.7333,2295
2006-01-03,0.7335,0.7416,0.7314,0.74,7626
2006-01-04,0.74,0.7487,0.7397,0.7467,7843
2006-01-05,0.7468,0.7487,0.7443,0.7475,7832
2006-01-06,0.7475,0.7555,0.7451,0.754,7221
2006-01-07,0.7541,0.755,0.7538,0.755,50
2006-01-09,0.7531,0.7547,0.7501,0.7544,6904
2006-01-10,0.7542,0.7545,0.7483,0.7489,7698
2006-01-11,0.7488,0.7569,0.7479,0.7551,7559
2006-01-12,0.755,0.7567,0.7496,0.7503,7803
2006-01-13,0.7503,0.7553,0.7498,0.7552,7188
2006-01-14,0.7554,0.756,0.7549,0.755,71
2006-01-16,0.756,0.7579,0.7531,0.7543,6495
2006-01-17,0.7541,0.7559,0.7504,0.7526,7637
2006-01-18,0.7525,0.7532,0.7459,0.7474,8106
2006-01-19,0.7476,0.7487,0.7443,0.7469,7980
2006-01-20,0.7469,0.7502,0.746,0.748,7760
2006-01-21,0.7479,0.7481,0.7469,0.748,49
2006-01-23,0.7494,0.7546,0.7482,0.7536,7254
2006-01-24,0.7534,0.7544,0.7486,0.7519,7729
2006-01-25,0.7518,0.7559,0.7505,0.7529,8148
2006-01-26,0.7528,0.7563,0.7505,0.7509,7714
2006-01-27,0.7508,0.7546,0.7491,0.7496,8556
2006-01-28,0.7494,0.7498,0.749,0.749,23
2006-01-30,0.7491,0.7517,0.7478,0.7487,6927
2006-01-31,0.7486,0.759,0.7483,0.7582,7819
2006-02-01,0.7581,0.759,0.7524,0.7532,7730
2006-02-02,0.7529,0.7557,0.7505,0.7533,7814
2006-02-03,0.7531,0.7541,0.7475,0.749,7800
2006-02-04,0.7489,0.7494,0.7485,0.7486,42
2006-02-06,0.7487,0.7496,0.7411,0.7416,7893
2006-02-07,0.7415,0.7451,0.7391,0.7396,7824
2006-02-08,0.7395,0.7415,0.7362,0.7389,8222
2006-02-09,0.7388,0.7422,0.738,0.7402,7914
2006-02-10,0.7403,0.744,0.737,0.7376,7763
2006-02-11,0.7376,0.7386,0.7368,0.7386,52
2006-02-13,0.7365,0.7401,0.7362,0.7371,7420
2006-02-14,0.7372,0.7423,0.7357,0.7423,7778
2006-02-15,0.7423,0.7445,0.7372,0.7389,7778
2006-02-16,0.7391,0.7396,0.7362,0.7392,7441
2006-02-17,0.7392,0.7419,0.7347,0.7396,8107
2006-02-18,0.7395,0.7404,0.739,0.7396,73
2006-02-20,0.7395,0.7419,0.7383,0.7409,6491
2006-02-21,0.7408,0.7415,0.7369,0.7389,7831
2006-02-22,0.7386,0.7397,0.7343,0.7366,7543
2006-02-23,0.7366,0.7424,0.7343,0.7387,8154
2006-02-24,0.7387,0.7417,0.7378,0.7395,7588
2006-02-25,0.7396,0.74,0.7388,0.7392,36
2006-02-27,0.7386,0.74,0.7364,0.7374,7899
2006-02-28,0.7374,0.744,0.736,0.7424,7905
2006-03-01,0.7424,0.7468,0.7416,0.7447,8477
2006-03-02,0.7446,0.7488,0.7444,0.7482,8322
2006-03-03,0.7483,0.7487,0.7421,0.7453,7820
2006-03-04,0.7453,0.7455,0.7444,0.7444,50
2006-03-06,0.7442,0.7486,0.7394,0.7404,7431
2006-03-07,0.7404,0.7407,0.7327,0.7335,7981
2006-03-08,0.7336,0.7363,0.7313,0.7342,7750
2006-03-09,0.7344,0.7379,0.7326,0.7343,7981
2006-03-10,0.7343,0.737,0.7302,0.7318,7924
2006-03-11,0.7318,0.7324,0.7317,0.7318,50
2006-03-13,0.731,0.7371,0.7307,0.7365,7113
2006-03-14,0.7369,0.7376,0.7325,0.7372,7547
2006-03-15,0.7372,0.7413,0.7365,0.7393,7781
2006-03-16,0.7392,0.7395,0.7338,0.7379,7902
2006-03-17,0.7379,0.7387,0.7265,0.7275,8124
2006-03-18,0.7273,0.729,0.7268,0.729,119
2006-03-20,0.7275,0.728,0.7178,0.7202,7927
2006-03-21,0.7201,0.722,0.7147,0.7166,8048
2006-03-22,0.7166,0.7209,0.7152,0.7186,8128
2006-03-23,0.7185,0.7216,0.713,0.7149,7830
2006-03-24,0.7147,0.7153,0.706,0.7087,8387
2006-03-25,0.7086,0.7103,0.7086,0.7102,92
2006-03-27,0.7088,0.7095,0.7036,0.7056,8092
2006-03-28,0.7056,0.7122,0.7042,0.7055,8243
2006-03-29,0.7054,0.7081,0.7015,0.7077,8191
2006-03-30,0.7077,0.7161,0.7057,0.7146,8713
2006-03-31,0.7147,0.7175,0.7108,0.7158,8195
2006-04-01,0.7158,0.7167,0.7156,0.7165,186
2006-04-03,0.7155,0.7187,0.7128,0.7158,7698
2006-04-04,0.7159,0.7226,0.7114,0.7205,9584
2006-04-05,0.7203,0.7294,0.7198,0.728,9474
2006-04-06,0.728,0.7333,0.726,0.7312,8262
2006-04-07,0.7313,0.7345,0.7255,0.7264,8189
2006-04-08,0.7261,0.7267,0.7253,0.7261,192
2006-04-10,0.7261,0.73,0.7255,0.73,7079
2006-04-11,0.7298,0.7342,0.7265,0.7337,7758
2006-04-12,0.7336,0.7346,0.7291,0.7325,7503
2006-04-13,0.7326,0.7339,0.7237,0.728,8903
2006-04-14,0.7281,0.7293,0.7268,0.7281,5530
2006-04-15,0.7279,0.7279,0.7279,0.7279,1
2006-04-17,0.7278,0.7387,0.727,0.7372,5966
2006-04-18,0.7375,0.7423,0.7365,0.742,8217
2006-04-19,0.7421,0.7484,0.7411,0.7468,8167
2006-04-20,0.7466,0.7473,0.7357,0.738,8414
2006-04-21,0.7379,0.7464,0.7362,0.7442,8282
2006-04-22,0.7441,0.745,0.7435,0.7441,140
2006-04-24,0.7469,0.7486,0.7419,0.7445,8241
2006-04-25,0.7446,0.7484,0.7428,0.7458,7821
2006-04-26,0.7459,0.7547,0.743,0.7528,8364
2006-04-27,0.7529,0.7583,0.7491,0.7564,8523
2006-04-28,0.7563,0.7609,0.7535,0.7596,8036
2006-04-29,0.7596,0.7602,0.7592,0.7595,51
2006-05-01,0.7588,0.764,0.7573,0.7598,7088
2006-05-02,0.7599,0.7637,0.7551,0.7621,7835
2006-05-03,0.7621,0.7721,0.76,0.7711,8623
2006-05-04,0.7712,0.7732,0.7651,0.7717,7873
2006-05-05,0.7717,0.7747,0.7675,0.7723,7972
2006-05-06,0.7723,0.7731,0.7719,0.7719,34
2006-05-08,0.7728,0.7746,0.7677,0.7687,7614
2006-05-09,0.7686,0.7744,0.7632,0.7741,8003
2006-05-10,0.7741,0.7772,0.7709,0.7745,8343
2006-05-11,0.7745,0.7795,0.768,0.776,8257
2006-05-12,0.7757,0.7791,0.7698,0.7729,8559
2006-05-13,0.773,0.774,0.7719,0.7723,84
2006-05-15,0.7744,0.775,0.7594,0.7605,8368
2006-05-16,0.7606,0.7694,0.7598,0.7674,8258
2006-05-17,0.7674,0.7727,0.7575,0.7584,8962
2006-05-18,0.7585,0.7676,0.7574,0.7642,8488
2006-05-19,0.7643,0.7659,0.7525,0.7581,8572
2006-05-20,0.7582,0.7594,0.7579,0.7585,76
2006-05-22,0.7563,0.7569,0.7466,0.7536,8072
2006-05-23,0.7537,0.7596,0.7514,0.7523,8547
2006-05-24,0.752,0.7562,0.7491,0.7523,8790
2006-05-25,0.7525,0.7612,0.7504,0.7602,8260
2006-05-26,0.7604,0.7623,0.7558,0.7575,7985
2006-05-27,0.7575,0.7577,0.757,0.7577,19
2006-05-29,0.7575,0.7596,0.7568,0.7582,6280
2006-05-30,0.7583,0.7649,0.7566,0.7625,8065
2006-05-31,0.7625,0.7655,0.7511,0.7522,8180
2006-06-01,0.7523,0.7532,0.744,0.7466,8213
2006-06-02,0.7466,0.7525,0.7445,0.7522,7883
2006-06-03,0.7524,0.7525,0.751,0.751,60
2006-06-05,0.7508,0.7547,0.7467,0.748,8148
2006-06-06,0.748,0.7487,0.7394,0.7403,8418
2006-06-07,0.7402,0.7435,0.7391,0.7405,8149
2006-06-08,0.7405,0.7467,0.7404,0.7412,9047
2006-06-09,0.7412,0.7506,0.7411,0.7485,8515
2006-06-10,0.7481,0.7484,0.7476,0.748,31
2006-06-12,0.7485,0.7501,0.7455,0.7461,7338
2006-06-13,0.7461,0.7476,0.7366,0.7374,8909
2006-06-14,0.7374,0.7411,0.7344,0.7368,8622
