time,open,high,low,close,volume
2006-12-08,1.3282,1.3364,1.3189,1.3202,41061
2006-12-11,1.3182,1.3261,1.313,1.325,36806
2006-12-12,1.3248,1.3291,1.3212,1.3282,37938
2006-12-13,1.3283,1.3287,1.319,1.3207,36852
2006-12-14,1.3209,1.3252,1.314,1.3152,42027
2006-12-15,1.3151,1.3186,1.3059,1.3079,40358
2006-12-18,1.3082,1.3117,1.3051,1.3096,29859
2006-12-19,1.3094999999999999,1.3214000000000001,1.3082,1.3195999999999999,37713
2006-12-20,1.3197999999999999,1.3244,1.3159,1.3175,34042
2006-12-21,1.3176,1.3212,1.314,1.318,33131
2006-12-22,1.3179,1.3211,1.3107,1.3128,31442
2006-12-26,1.3138,1.314,1.3087,1.3101,66307
2006-12-27,1.3099,1.3176999999999999,1.3094000000000001,1.3125,43701
2006-12-28,1.3127,1.3201,1.3103,1.3145,47465
2006-12-29,1.3146,1.3205,1.3134000000000001,1.3197999999999999,44740
2007-01-01,1.3189,1.3189,1.3189,1.3189,1
2007-01-02,1.3205,1.3296000000000001,1.3201,1.3277,45424
2007-01-03,1.3277999999999999,1.3289,1.3146,1.3163,43031
2007-01-04,1.3164,1.3179,1.3075,1.309,40229
2007-01-05,1.3091,1.3104,1.298,1.3001,39165
2007-01-08,1.301,1.3035,1.2971,1.3029,37885
2007-01-09,1.3028,1.3051,1.2985,1.2992,34694
2007-01-10,1.2993000000000001,1.3,1.2929,1.2939,37866
2007-01-11,1.2938,1.3014000000000001,1.2881,1.2893,37121
2007-01-12,1.2892000000000001,1.2944,1.2865,1.2922,36777
2007-01-15,1.2927,1.2955,1.2913999999999999,1.2934,31749
2007-01-16,1.2933,1.2988,1.2907,1.2916,38958
2007-01-17,1.292,1.2949,1.2896,1.2938,37830
2007-01-18,1.2939,1.2974999999999999,1.2894999999999999,1.2958,37850
2007-01-19,1.2959,1.2999,1.2912,1.296,32642
2007-01-22,1.2955999999999999,1.2978,1.2921,1.2941,34196
2007-01-23,1.2944,1.3042,1.2927,1.3019,35526
2007-01-24,1.302,1.3035999999999999,1.2946,1.2962,39415
2007-01-25,1.2963,1.3,1.2913000000000001,1.2925,39339
