time,open,high,low,close,volume
2006-12-06,114.93,115.34,114.51,115.33,7151
2006-12-07,115.32,115.36,114.74,115.22,6831
2006-12-08,115.23,116.49,114.88,116.31,8986
2006-12-11,116.36,117.24,116.15,116.8,8057
2006-12-12,116.81,117.23,116.66,116.73,7747
2006-12-13,116.75,117.64,116.64,117.49,7218
2006-12-14,117.5,117.87,117.25,117.73,6870
2006-12-15,117.74,118.31,117.43,118.16,8582
2006-12-18,117.98,118.27,117.68,118.11,5793
2006-12-19,118.12,118.3,117.8,118.07,7816
2006-12-20,118.06,118.5,117.94,118.37,6332
2006-12-21,118.38,118.5,117.94,118.34,6647
2006-12-22,118.35,118.95,118.21,118.85,5521
2006-12-26,118.73,119.23,118.7,119.15,11782
2006-12-27,119.14,119.21,118.28,118.64,8089
2006-12-28,118.66,119.02,118.52,118.92,8191
2006-12-29,118.91,119.17,118.71,119.06,7594
2007-01-02,118.98,118.99,118.5,118.81,9670
2007-01-03,118.8,119.67,118.65,119.41,7401
2007-01-04,119.39,119.5,118.86,118.87,7454
2007-01-05,118.86,119.03,117.97,118.61,8624
2007-01-08,118.71,118.82,118.1,118.79,6374
2007-01-09,118.78,119.53,118.66,119.36,7490
2007-01-10,119.37,119.76,119.13,119.61,7234
2007-01-11,119.6,120.62,119.49,120.43,8559
2007-01-12,120.46,120.71,120.14,120.3,7509
2007-01-15,120.31,120.58,120.04,120.46,6115
2007-01-16,120.47,120.74,120.2,120.63,7316
2007-01-17,120.64,120.87,120.32,120.61,7016
2007-01-18,120.62,121.57,120.46,121.18,9127
2007-01-19,121.17,121.46,121.08,121.21,6205
2007-01-22,121.25,121.77,121.19,121.65,5694
2007-01-23,121.66,121.74,121.09,121.66,7028
2007-01-24,121.68,121.79,120.63,121.05,9817
2007-01-25,121.06,121.31,120.17,121.24,10248
2007-01-26,121.25,121.64,121.15,121.51,7873
2007-01-29,121.44,122.17,121.41,121.73,5661
2007-01-30,121.72,121.97,121.45,121.69,6626
2007-01-31,121.72,121.72,120.6,120.85,8866
2007-02-01,120.85,120.88,120.07,120.74,8663
2007-02-02,120.75,121.34,120.62,121.11,7142
2007-02-05,121.18,121.18,120.22,120.27,6726
2007-02-06,120.26,120.55,119.94,120.03,6941
2007-02-07,120.02,120.79,120.0,120.6,6027
2007-02-08,120.61,121.41,120.56,121.1,6331
2007-02-09,121.11,121.72,121.04,121.68,6690
2007-02-12,122.04,122.05,121.56,121.82,5287
2007-02-13,121.83,121.86,121.07,121.18,6693
2007-02-14,121.2,121.35,120.6,120.71,7492
2007-02-15,120.69,120.74,119.14,119.2,10507
2007-02-16,119.21,119.54,118.96,119.4,7186
2007-02-19,119.25,119.72,119.25,119.66,4592
2007-02-20,119.65,120.32,119.55,120.02,6223
2007-02-21,120.01,121.16,119.67,120.82,9358
2007-02-22,120.83,121.61,120.81,121.5,6411
2007-02-23,121.51,121.61,120.91,120.99,5346
2007-02-26,120.89,120.98,120.33,120.7,4952
2007-02-27,120.69,120.75,117.47,118.2,10469
2007-02-28,118.21,118.81,117.94,118.5,11047
2007-03-01,118.54,118.84,116.94,117.58,12069
2007-03-02,117.57,117.8,116.4,116.77,9909
2007-03-05,116.65,116.65,115.13,115.22,15057
2007-03-06,115.21,116.8,115.2,116.77,11674
2007-03-07,116.78,116.89,115.75,115.85,8919
2007-03-08,115.83,117.48,115.54,117.24,10807
2007-03-09,117.25,118.37,117.09,118.3,9931
2007-03-12,118.37,118.49,117.22,117.5,9454
2007-03-13,117.51,117.78,116.02,116.13,11939
2007-03-14,116.12,117.42,115.75,117.32,14035
2007-03-15,117.33,117.77,117.03,117.34,11796
2007-03-16,117.35,117.44,116.51,116.68,10881
2007-03-19,116.29,117.76,116.24,117.42,9594
2007-03-20,117.41,118.02,116.92,117.25,10112
2007-03-21,117.26,117.94,117.18,117.39,7419
2007-03-22,117.4,118.31,117.25,118.13,8746
2007-03-23,118.12,118.24,117.38,118.1,8723
2007-03-26,117.92,118.42,117.65,118.1,7122
2007-03-27,118.11,118.38,117.69,117.83,7798
2007-03-28,117.82,118.03,116.38,116.9,13277
2007-03-29,116.89,118.09,116.66,118.03,8202
2007-03-30,118.04,118.39,117.21,117.82,9037
2007-04-02,117.5,118.05,117.46,117.85,6686
2007-04-03,117.86,118.98,117.71,118.91,6718
2007-04-04,118.9,119.08,118.55,118.63,6429
2007-04-05,118.64,118.99,118.45,118.7,5837
2007-04-06,118.71,119.38,118.68,119.25,2920
2007-04-09,119.24,119.38,119.18,119.29,3052
2007-04-10,119.3,119.32,118.75,119.03,5905
2007-04-11,119.04,119.53,118.87,119.37,6116
2007-04-12,119.36,119.5,118.79,119.06,6446
2007-04-13,119.07,119.55,118.21,119.25,7537
2007-04-16,119.38,119.87,118.98,119.69,7566
2007-04-17,119.68,119.81,118.81,118.94,8216
2007-04-18,118.91,119.02,118.1,118.47,8197
2007-04-19,118.48,118.58,117.6,118.41,10810
2007-04-20,118.43,118.96,118.24,118.67,7167
2007-04-23,118.71,119.03,118.22,118.56,7186
2007-04-24,118.57,118.94,118.24,118.53,8204
2007-04-25,118.54,118.84,118.27,118.62,7098
2007-04-26,118.63,119.66,118.53,119.5,9050
2007-04-27,119.51,119.75,118.87,119.6,9246
2007-04-30,119.26,119.74,119.26,119.41,5093
2007-05-01,119.41,119.86,119.06,119.74,5092
2007-05-02,119.75,120.27,119.48,120.19,7679
2007-05-03,120.22,120.45,119.97,120.41,5358
2007-05-04,120.42,120.45,119.91,120.17,5845
2007-05-07,120.13,120.18,119.78,120.09,5519
2007-05-08,120.1,120.13,119.52,120.01,8892
