time,open,high,low,close,volume
2025-05-26 22:00:00,142.756,142.774,142.735,142.771,302
2025-05-26 23:00:00,142.769,142.829,142.756,142.817,467
2025-05-27 00:00:00,142.778,142.94,142.687,142.71,392
2025-05-27 01:00:00,142.711,142.761,142.636,142.677,1099
2025-05-27 02:00:00,142.677,142.744,142.609,142.624,1921
2025-05-27 03:00:00,142.623,142.623,142.24,142.273,4343
2025-05-27 04:00:00,142.273,142.378,142.108,142.279,4225
2025-05-27 05:00:00,142.279,142.402,142.156,142.379,2718
2025-05-27 06:00:00,142.379,142.453,142.348,142.441,2617
2025-05-27 07:00:00,142.441,142.855,142.378,142.851,3324
2025-05-27 08:00:00,142.851,143.43,142.849,143.256,6197
2025-05-27 09:00:00,143.257,143.484,142.969,143.455,6751
2025-05-27 10:00:00,143.459,143.859,143.327,143.737,8156
2025-05-27 11:00:00,143.735,143.881,143.612,143.864,6502
2025-05-27 12:00:00,143.864,144.038,143.799,143.908,6065
2025-05-27 13:00:00,143.907,144.173,143.891,144.138,5362
2025-05-27 14:00:00,144.137,144.142,144.004,144.091,5176
2025-05-27 15:00:00,144.092,144.182,144.005,144.019,6987
2025-05-27 16:00:00,144.02,144.178,143.87,144.167,8097
2025-05-27 17:00:00,144.166,144.448,144.166,144.388,9641
2025-05-27 18:00:00,144.389,144.41,144.217,144.376,6777
2025-05-27 19:00:00,144.376,144.43,144.286,144.369,3478
2025-05-27 20:00:00,144.368,144.368,144.274,144.31,2882
2025-05-27 21:00:00,144.308,144.337,144.24,144.252,2014
2025-05-27 22:00:00,144.252,144.331,144.235,144.319,2114
2025-05-27 23:00:00,144.319,144.405,144.298,144.335,1353
2025-05-28 00:00:00,144.232,144.347,144.229,144.237,98
2025-05-28 01:00:00,144.238,144.282,144.168,144.177,957
2025-05-28 02:00:00,144.177,144.306,144.127,144.132,1418
2025-05-28 03:00:00,144.132,144.132,143.845,144.119,4474
2025-05-28 04:00:00,144.119,144.761,144.083,144.337,6854
2025-05-28 05:00:00,144.338,144.634,144.205,144.595,5703
2025-05-28 06:00:00,144.588,144.762,144.291,144.357,4619
2025-05-28 07:00:00,144.354,144.5,144.267,144.42,4363
2025-05-28 08:00:00,144.421,144.763,144.247,144.271,4721
2025-05-28 09:00:00,144.271,144.521,144.216,144.518,6124
2025-05-28 10:00:00,144.519,144.535,144.066,144.146,6305
2025-05-28 11:00:00,144.142,144.2,143.99,144.036,5126
2025-05-28 12:00:00,144.036,144.247,143.994,144.223,4174
2025-05-28 13:00:00,144.223,144.304,144.074,144.269,3558
2025-05-28 14:00:00,144.269,144.425,144.19,144.419,4217
2025-05-28 15:00:00,144.419,144.532,144.302,144.509,5802
2025-05-28 16:00:00,144.508,144.968,144.508,144.889,7110
2025-05-28 17:00:00,144.888,144.911,144.511,144.843,6302
2025-05-28 18:00:00,144.845,145.071,144.821,145.043,4914
2025-05-28 19:00:00,145.039,145.044,144.907,144.912,2367
2025-05-28 20:00:00,144.911,144.936,144.823,144.884,2018
2025-05-28 21:00:00,144.886,145.004,144.753,144.831,2766
2025-05-28 22:00:00,144.83,144.921,144.805,144.901,2712
2025-05-28 23:00:00,144.9,144.901,144.812,144.852,2197
2025-05-29 00:00:00,144.771,144.772,144.71,144.766,308
2025-05-29 01:00:00,144.776,144.931,144.772,144.896,1396
2025-05-29 02:00:00,144.891,146.02,144.886,145.716,5694
2025-05-29 03:00:00,145.721,146.096,145.601,146.092,6355
2025-05-29 04:00:00,146.093,146.278,145.732,145.773,4679
2025-05-29 05:00:00,145.773,145.899,145.592,145.787,3193
2025-05-29 06:00:00,145.787,145.812,145.616,145.736,2740
2025-05-29 07:00:00,145.735,145.841,145.655,145.74,2140
2025-05-29 08:00:00,145.74,146.088,145.694,145.928,2958
2025-05-29 09:00:00,145.933,146.011,145.472,145.57,4787
2025-05-29 10:00:00,145.574,145.602,145.197,145.241,4666
2025-05-29 11:00:00,145.253,145.355,145.131,145.261,4058
2025-05-29 12:00:00,145.262,145.28,145.022,145.216,3277
2025-05-29 13:00:00,145.216,145.228,144.924,145.011,3624
2025-05-29 14:00:00,145.013,145.109,144.875,145.077,4406
2025-05-29 15:00:00,145.078,145.078,144.403,144.426,7116
2025-05-29 16:00:00,144.426,144.533,144.261,144.361,6377
2025-05-29 17:00:00,144.344,144.458,144.149,144.397,6530
2025-05-29 18:00:00,144.396,144.412,144.048,144.088,5430
2025-05-29 19:00:00,144.088,144.169,144.041,144.141,3675
2025-05-29 20:00:00,144.135,144.25,143.973,144.045,3087
2025-05-29 21:00:00,144.044,144.069,143.954,143.994,2509
2025-05-29 22:00:00,143.995,144.139,143.974,144.135,2879
2025-05-29 23:00:00,144.131,144.238,144.097,144.17,1636
2025-05-30 00:00:00,144.103,144.194,144.077,144.09,512
2025-05-30 01:00:00,144.098,144.157,143.865,144.007,1278
2025-05-30 02:00:00,143.998,144.084,143.734,143.745,2089
2025-05-30 03:00:00,143.744,144.029,143.581,143.769,3686
2025-05-30 04:00:00,143.768,143.936,143.435,143.898,4008
2025-05-30 05:00:00,143.898,143.989,143.82,143.922,3065
2025-05-30 06:00:00,143.923,143.978,143.828,143.854,2466
2025-05-30 07:00:00,143.852,143.855,143.69,143.771,3008
2025-05-30 08:00:00,143.771,143.96,143.706,143.82,2722
2025-05-30 09:00:00,143.821,144.132,143.757,143.848,4459
2025-05-30 10:00:00,143.848,144.153,143.828,144.023,4775
2025-05-30 11:00:00,144.04,144.114,143.896,144.045,4705
