time,open,high,low,close,volume
2026-01-02 03:30:00,156.58,156.65,156.573,156.64,501
2026-01-02 03:45:00,156.64,156.644,156.606,156.627,419
2026-01-02 04:00:00,156.628,156.645,156.588,156.605,539
2026-01-02 04:15:00,156.605,156.624,156.589,156.604,351
2026-01-02 04:30:00,156.604,156.618,156.587,156.603,417
2026-01-02 04:45:00,156.603,156.68,156.603,156.673,304
2026-01-02 05:00:00,156.673,156.702,156.64,156.689,468
2026-01-02 05:15:00,156.689,156.714,156.668,156.671,488
2026-01-02 05:30:00,156.671,156.713,156.66,156.7,338
2026-01-02 05:45:00,156.7,156.715,156.69,156.71,313
2026-01-02 06:00:00,156.71,156.761,156.71,156.759,524
2026-01-02 06:15:00,156.759,156.809,156.757,156.802,637
2026-01-02 06:30:00,156.804,156.853,156.804,156.834,491
2026-01-02 06:45:00,156.834,156.837,156.803,156.815,327
2026-01-02 07:00:00,156.815,156.851,156.813,156.82,411
2026-01-02 07:15:00,156.82,156.847,156.814,156.827,360
2026-01-02 07:30:00,156.828,156.849,156.825,156.829,373
2026-01-02 07:45:00,156.827,156.935,156.82,156.905,479
2026-01-02 08:00:00,156.906,156.96,156.9,156.921,646
2026-01-02 08:15:00,156.921,156.96,156.907,156.949,570
2026-01-02 08:30:00,156.949,156.987,156.939,156.983,595
2026-01-02 08:45:00,156.983,156.986,156.944,156.946,524
2026-01-02 09:00:00,156.946,156.985,156.899,156.899,828
2026-01-02 09:15:00,156.9,156.935,156.877,156.887,843
2026-01-02 09:30:00,156.887,156.898,156.825,156.88,1044
2026-01-02 09:45:00,156.88,156.886,156.829,156.855,1025
2026-01-02 10:00:00,156.856,156.985,156.808,156.975,1368
2026-01-02 10:15:00,156.975,156.991,156.936,156.973,1067
2026-01-02 10:30:00,156.973,156.975,156.909,156.924,1074
2026-01-02 10:45:00,156.924,156.935,156.867,156.869,1027
2026-01-02 11:00:00,156.873,156.906,156.822,156.828,1148
2026-01-02 11:15:00,156.828,156.843,156.76,156.813,1260
2026-01-02 11:30:00,156.813,156.857,156.781,156.798,979
2026-01-02 11:45:00,156.798,156.912,156.798,156.907,778
2026-01-02 12:00:00,156.907,156.92,156.886,156.917,706
2026-01-02 12:15:00,156.918,156.92,156.796,156.86,865
2026-01-02 12:30:00,156.859,156.873,156.82,156.855,737
2026-01-02 12:45:00,156.855,156.868,156.808,156.838,650
2026-01-02 13:00:00,156.838,156.872,156.818,156.868,626
2026-01-02 13:15:00,156.868,156.908,156.857,156.859,723
2026-01-02 13:30:00,156.859,156.924,156.854,156.919,781
2026-01-02 13:45:00,156.919,156.944,156.903,156.912,670
2026-01-02 14:00:00,156.913,156.918,156.864,156.916,745
2026-01-02 14:15:00,156.92,156.935,156.887,156.9,755
2026-01-02 14:30:00,156.9,156.993,156.9,156.97,924
2026-01-02 14:45:00,156.97,156.993,156.932,156.933,872
2026-01-02 15:00:00,156.93,156.953,156.85,156.856,1102
2026-01-02 15:15:00,156.855,156.888,156.827,156.878,1303
2026-01-02 15:30:00,156.879,156.941,156.873,156.876,1343
2026-01-02 15:45:00,156.876,156.934,156.84,156.901,1059
2026-01-02 16:00:00,156.901,156.912,156.852,156.879,1147
2026-01-02 16:15:00,156.88,156.904,156.816,156.83,1041
2026-01-02 16:30:00,156.829,156.879,156.815,156.853,1623
2026-01-02 16:45:00,156.855,156.88,156.803,156.846,1113
2026-01-02 17:00:00,156.849,156.887,156.651,156.724,1700
2026-01-02 17:15:00,156.722,156.739,156.638,156.683,1440
