time,open,high,low,close,volume
2013-10-01,102.131,102.356,100.899,101.428,38110
2013-10-02,101.42,103.972,101.235,103.404,42599
2013-10-03,103.414,104.133,102.678,102.833,39260
2013-10-04,102.828,103.94,102.798,103.45,30194
2013-10-06,103.191,103.369,103.12,103.284,801
2013-10-07,103.281,103.525,101.704,102.963,38190
2013-10-08,102.967,103.923,102.706,103.461,32817
2013-10-09,103.458,103.582,101.053,101.423,40904
2013-10-10,101.419,103.389,101.024,102.699,43566
2013-10-11,102.706,102.787,100.593,101.804,39349
2013-10-13,101.307,101.513,101.248,101.462,800
2013-10-14,101.456,102.636,101.115,102.348,31445
2013-10-15,102.352,102.52,101.057,101.364,37890
2013-10-16,101.36,103.123,100.931,102.371,41799
2013-10-17,102.381,102.511,100.209,100.943,43843
2013-10-18,100.95,101.953,100.728,101.124,32822
2013-10-20,100.929,101.052,100.91,101.047,1625
2013-10-21,101.043,101.195,99.339,99.386,37323
2013-10-22,99.383,100.291,98.054,98.112,43727
2013-10-23,98.108,98.296,96.192,97.161,49579
2013-10-24,97.164,97.705,95.986,97.246,41590
2013-10-25,97.243,98.063,97.017,97.892,35190
2013-10-27,97.78,97.78,97.56,97.563,1231
2013-10-28,97.565,98.841,97.415,98.488,34046
2013-10-29,98.484,98.563,97.479,97.65,33652
2013-10-30,97.652,97.896,96.601,96.611,37963
2013-10-31,96.618,97.122,96.151,96.465,34794
2013-11-01,96.461,96.775,94.515,94.767,32310
2013-11-03,94.693,94.811,94.608,94.689,557
2013-11-04,94.693,95.265,94.251,94.695,29758
2013-11-05,94.699,95.092,93.28,93.935,28415
2013-11-06,93.953,95.61,93.895,95.113,30624
2013-11-07,95.11,95.531,94.035,94.644,33586
2013-11-08,94.655,95.162,94.149,94.627,30287
2013-11-10,94.712,95.004,94.712,94.984,641
2013-11-11,94.98,95.625,94.367,95.268,26099
2013-11-12,95.265,95.478,93.23,93.542,31112
2013-11-13,93.537,94.993,93.372,94.146,31137
2013-11-14,94.143,94.985,93.119,94.576,34904
2013-11-15,94.571,95.124,94.221,94.36,23266
2013-11-17,94.4,94.482,94.355,94.401,397
2013-11-18,94.39,94.932,93.387,93.644,26533
2013-11-19,93.64,94.13,93.239,93.989,33791
2013-11-20,93.985,94.487,93.277,93.736,31075
