time,open,high,low,close,volume
2007-04-19,13.95,14.01,13.54,13.66,1575
2007-04-20,13.67,13.97,13.66,13.92,854
2007-04-23,13.93,14.08,13.83,13.99,1107
2007-04-24,14.0,14.06,13.69,13.77,1234
2007-04-25,13.76,13.87,13.71,13.8,1074
2007-04-26,13.8,13.82,13.18,13.31,1471
2007-04-27,13.32,13.54,13.22,13.52,973
2007-04-30,13.53,13.56,13.35,13.4,918
2007-05-01,13.39,13.46,13.13,13.24,1095
2007-05-02,13.25,13.34,13.02,13.2,1425
2007-05-03,13.21,13.43,13.18,13.4,1062
2007-05-04,13.39,13.58,13.34,13.44,1076
2007-05-07,13.43,13.57,13.42,13.49,813
2007-05-08,13.5,13.54,13.29,13.48,1162
2007-05-09,13.49,13.5,13.17,13.35,1088
2007-05-10,13.36,13.37,12.99,13.04,1479
2007-05-11,13.03,13.29,12.94,13.2,1319
2007-05-14,13.19,13.23,13.01,13.13,1189
2007-05-15,13.14,13.25,12.99,13.19,1319
2007-05-16,13.18,13.21,12.81,12.9,1245
2007-05-17,12.91,12.94,12.68,12.83,1435
2007-05-18,12.82,13.0,12.77,12.92,1425
2007-05-21,12.93,13.08,12.83,13.05,976
2007-05-22,13.04,13.11,12.9,12.92,1061
2007-05-23,12.93,13.11,12.88,13.02,1043
2007-05-24,13.01,13.06,12.77,12.84,1191
2007-05-25,12.86,12.96,12.83,12.92,712
2007-05-28,12.93,12.94,12.89,12.91,241
2007-05-29,12.92,13.24,12.9,13.14,1101
2007-05-30,13.15,13.17,13.02,13.15,895
2007-05-31,13.16,13.5,13.09,13.41,1299
2007-06-01,13.42,13.69,13.4,13.68,1211
2007-06-03,13.67,13.67,13.67,13.67,1
2007-06-04,13.68,13.78,13.63,13.69,1098
2007-06-05,13.7,13.79,13.67,13.76,1031
2007-06-06,13.75,13.8,13.59,13.69,1309
2007-06-07,13.7,13.75,13.39,13.43,1152
2007-06-08,13.44,13.5,12.93,13.08,1791
2007-06-10,13.09,13.09,13.09,13.09,1
2007-06-11,13.03,13.25,13.03,13.2,1056
2007-06-12,13.21,13.23,12.99,13.01,1045
2007-06-13,13.02,13.16,12.82,13.09,1310
2007-06-14,13.1,13.18,12.94,13.12,1230
2007-06-15,13.13,13.23,13.04,13.22,1066
2007-06-17,13.21,13.22,13.21,13.22,2
2007-06-18,13.21,13.36,13.17,13.2,1035
2007-06-19,13.19,13.33,13.09,13.32,917
2007-06-20,13.25,13.38,13.13,13.18,1089
2007-06-21,13.17,13.24,12.96,13.1,1382
2007-06-22,13.11,13.17,12.99,13.05,983
2007-06-25,13.03,13.06,12.8,12.85,1311
2007-06-26,12.84,12.89,12.13,12.24,1700
2007-06-27,12.23,12.36,12.12,12.28,1450
2007-06-28,12.29,12.47,12.25,12.46,1067
2007-06-29,12.45,12.54,12.25,12.39,908
2007-07-01,12.4,12.4,12.4,12.4,1
2007-07-02,12.39,12.65,12.39,12.61,1058
2007-07-03,12.62,12.67,12.46,12.57,824
2007-07-04,12.58,12.66,12.56,12.64,331
2007-07-05,12.65,12.66,12.39,12.49,828
2007-07-06,12.48,12.75,12.33,12.7,1112
2007-07-09,12.72,12.85,12.65,12.69,990
2007-07-10,12.7,12.98,12.66,12.89,787
2007-07-11,12.9,12.99,12.82,12.89,905
2007-07-12,12.9,13.11,12.86,13.07,982
2007-07-13,13.06,13.13,12.98,13.02,959
2007-07-16,13.03,13.08,12.93,12.94,834
2007-07-17,12.96,13.04,12.84,12.9,824
2007-07-18,12.94,13.24,12.89,13.17,1187
2007-07-19,13.18,13.3,13.16,13.23,1047
2007-07-20,13.22,13.4,13.22,13.29,1292
2007-07-23,13.3,13.39,13.22,13.24,1095
2007-07-24,13.23,13.49,13.21,13.24,1164
2007-07-25,13.25,13.28,13.04,13.11,1425
2007-07-26,13.1,13.17,12.69,12.81,1922
2007-07-27,12.8,12.95,12.6,12.68,1571
2007-07-30,12.69,12.89,12.63,12.87,929
2007-07-31,12.88,13.02,12.85,12.86,1270
2007-08-01,12.85,13.01,12.69,12.98,1582
2007-08-02,12.97,13.02,12.9,12.95,1020
2007-08-03,12.96,13.14,12.93,13.04,973
2007-08-06,13.07,13.14,12.89,12.98,933
2007-08-07,12.99,13.11,12.88,13.08,1076
2007-08-08,13.09,13.18,13.01,13.12,937
2007-08-09,13.11,13.13,12.59,12.65,1674
2007-08-10,12.97,12.98,12.8,12.83,820
2007-08-13,12.84,12.87,12.72,12.78,2040
2007-08-14,12.77,12.86,12.67,12.69,2817
2007-08-15,12.69,12.72,12.31,12.5,4405
2007-08-16,12.49,12.52,11.05,11.75,7897
2007-08-17,11.76,11.98,11.47,11.7,4917
2007-08-20,11.75,11.95,11.61,11.73,3626
2007-08-21,11.73,11.82,11.45,11.55,4265
2007-08-22,11.55,11.77,11.5,11.62,3271
2007-08-23,11.63,11.87,11.61,11.69,3138
2007-08-24,11.69,11.98,11.58,11.94,2320
2007-08-27,11.93,11.96,11.73,11.75,2223
2007-08-28,11.75,11.88,11.66,11.75,2490
2007-08-29,11.75,11.91,11.68,11.88,2075
2007-08-30,11.88,11.89,11.73,11.78,2598
2007-08-31,11.78,12.11,11.74,12.04,2319
2007-09-02,12.05,12.06,12.05,12.05,3
2007-09-03,12.06,12.17,12.03,12.07,623
2007-09-04,12.06,12.32,12.0,12.25,2803
2007-09-05,12.26,12.29,12.11,12.2,1926
2007-09-06,12.19,12.49,12.16,12.39,3704
2007-09-07,12.39,12.65,12.37,12.47,3735
2007-09-10,12.49,12.67,12.4,12.52,2734
2007-09-11,12.52,12.76,12.46,12.67,3196
2007-09-12,12.67,12.73,12.49,12.63,3285
2007-09-13,12.63,12.63,12.36,12.51,2967
2007-09-14,12.51,12.76,12.44,12.55,3556
2007-09-17,12.54,12.79,12.52,12.76,2767
2007-09-18,12.76,13.09,12.67,12.98,3664
2007-09-19,12.98,13.07,12.87,12.92,3682
2007-09-20,12.9,13.47,12.89,13.34,4975
2007-09-21,13.35,13.63,13.28,13.49,3767
2007-09-24,13.5,13.69,13.39,13.44,3956
2007-09-25,13.44,13.48,13.22,13.44,3642
2007-09-26,13.44,13.59,13.32,13.39,3490
2007-09-27,13.39,13.58,13.34,13.53,2923
2007-09-28,13.53,13.85,13.21,13.73,3973
2007-10-01,13.76,13.85,13.63,13.7,3204
2007-10-02,13.71,13.73,13.06,13.33,5536
2007-10-03,13.33,13.45,13.15,13.3,3839
2007-10-04,13.3,13.4,13.08,13.38,4141
2007-10-05,13.39,13.49,13.19,13.37,3445
2007-10-08,13.38,13.41,13.21,13.26,2146
2007-10-09,13.06,13.55,13.06,13.47,3082
2007-10-10,13.48,13.67,13.44,13.56,2890
2007-10-11,13.55,13.89,13.54,13.75,3636
2007-10-12,13.7,13.87,13.68,13.8,3320
2007-10-15,13.8,13.99,13.72,13.8,3029
2007-10-16,13.79,13.97,13.55,13.61,4585
2007-10-17,13.61,13.8,13.52,13.62,4672
2007-10-18,13.63,13.8,13.55,13.79,3581
2007-10-19,13.78,13.89,13.28,13.52,4687
2007-10-22,13.51,13.57,13.25,13.44,4655
2007-10-23,13.44,13.63,13.43,13.56,2654
2007-10-24,13.56,13.59,13.38,13.56,3173
2007-10-25,13.57,13.98,13.47,13.87,3768
2007-10-26,13.87,14.22,13.86,14.21,4654
2007-10-29,14.22,14.5,14.21,14.5,4416
2007-10-30,14.51,14.57,14.13,14.13,5177
2007-10-31,14.13,14.54,14.11,14.49,4515
2007-11-01,14.49,14.53,13.93,14.09,5549
2007-11-02,14.09,14.66,14.07,14.6,5379
2007-11-05,14.61,14.82,14.39,14.7,4932
2007-11-06,14.69,15.61,14.5,15.57,6945
2007-11-07,15.56,16.19,15.19,15.24,13971
2007-11-08,15.24,15.79,14.79,15.4,13040
2007-11-09,15.4,15.63,15.03,15.43,10380
2007-11-12,15.41,15.49,14.28,14.39,10130
2007-11-13,14.38,14.91,14.11,14.6,9228
2007-11-14,14.6,15.1,14.58,14.95,7387
2007-11-15,14.96,15.12,14.31,14.4,8118
2007-11-16,14.4,14.7,14.34,14.44,6666
2007-11-19,14.45,14.64,14.09,14.2,3925
2007-11-20,14.2,14.8,14.08,14.7,3673
2007-11-21,14.71,14.81,14.3,14.4,3445
2007-11-22,14.4,14.55,14.37,14.5,507
2007-11-23,14.51,14.86,14.46,14.76,1746
2007-11-26,14.27,14.67,14.24,14.48,4385
2007-11-27,14.47,14.54,14.05,14.2,4072
2007-11-28,14.2,14.29,13.86,14.16,3921
2007-11-29,14.16,14.25,13.87,13.89,3364
2007-11-30,13.89,14.0,13.53,13.71,3738
2007-12-03,13.68,13.97,13.54,13.89,3050
2007-12-04,13.9,14.13,13.75,14.05,2792
2007-12-05,14.06,14.15,13.85,14.0,3010
2007-12-06,14.0,14.28,13.7,14.18,3270
2007-12-07,14.18,14.27,13.98,14.1,3162
2007-12-10,14.11,14.47,14.08,14.39,3078
2007-12-11,14.39,14.52,14.15,14.17,3082
2007-12-12,14.17,14.55,14.14,14.38,3300
2007-12-13,14.38,14.42,13.71,13.83,3888
2007-12-14,13.83,13.96,13.48,13.58,4187
2007-12-17,13.53,13.72,13.35,13.58,2712
2007-12-18,13.57,13.87,13.54,13.77,2886
2007-12-19,13.76,13.89,13.59,13.88,1339
2007-12-20,13.85,14.05,13.69,13.96,2720
2007-12-21,13.95,14.19,13.69,14.08,1786
2007-12-24,14.09,14.31,14.06,14.28,988
2007-12-25,14.53,14.53,14.43,14.48,19
2007-12-26,14.27,14.5,14.27,14.41,1351
2007-12-27,14.41,14.5,14.24,14.36,1995
2007-12-28,14.36,14.6,14.34,14.49,1441
2007-12-31,14.54,14.65,14.42,14.52,1281
2008-01-01,14.8,14.81,14.79,14.8,566
2008-01-02,14.58,15.03,14.56,14.98,1934
2008-01-03,14.98,15.14,14.79,15.09,3310
2008-01-04,15.1,15.18,14.87,15.03,2763
2008-01-07,15.02,15.22,14.89,15.11,2174
2008-01-08,15.12,15.7,15.1,15.64,3453
2008-01-09,15.64,16.13,15.53,15.67,5378
2008-01-10,15.66,16.22,15.3,16.11,4170
2008-01-11,16.1,16.28,15.93,16.22,3776
2008-01-14,16.22,16.58,16.12,16.38,3793
2008-01-15,16.36,16.51,15.88,15.89,4704
2008-01-16,15.89,16.13,15.66,15.78,4734
2008-01-17,15.79,16.06,15.73,15.82,3917
2008-01-18,15.81,16.3,15.61,16.17,3873
2008-01-21,16.15,16.16,15.46,15.54,1887
2008-01-22,15.53,16.17,15.17,16.04,5710
2008-01-23,16.05,16.14,15.67,16.1,4701
2008-01-24,16.09,16.43,15.96,16.41,3717
2008-01-25,16.41,16.59,16.27,16.41,2879
2008-01-28,16.43,16.72,16.32,16.7,2345
2008-01-29,16.69,16.8,16.48,16.7,2396
2008-01-30,16.71,16.89,16.56,16.79,2831
2008-01-31,16.78,17.0,16.66,16.9,2876
2008-02-01,16.89,17.27,16.68,16.79,5928
2008-02-04,16.75,16.89,16.39,16.67,4628
2008-02-05,16.67,16.72,16.24,16.34,5425
2008-02-06,16.35,16.62,16.19,16.49,3868
2008-02-07,16.48,16.81,16.43,16.78,3854
2008-02-08,16.77,17.14,16.71,17.12,4119
2008-02-11,17.13,17.54,17.08,17.47,4312
2008-02-12,17.47,17.59,17.09,17.16,4293
2008-02-13,17.15,17.35,16.9,17.26,4842
2008-02-14,17.25,17.47,17.11,17.21,4003
2008-02-15,17.22,17.47,16.93,17.07,3282
2008-02-18,17.05,17.22,16.92,17.05,1879
2008-02-19,17.06,17.55,17.04,17.51,3256
2008-02-20,17.5,17.83,17.17,17.8,5228
2008-02-21,17.79,18.04,17.74,17.85,5058
2008-02-22,17.85,18.12,17.71,17.99,4098
2008-02-25,18.01,18.14,17.84,18.08,3579
2008-02-26,18.08,18.85,17.92,18.75,3681
2008-02-27,18.76,19.45,18.75,19.27,7258
2008-02-28,19.27,19.82,19.03,19.72,5146
2008-02-29,19.72,19.93,19.21,19.79,6352
2008-03-03,19.78,20.6,19.75,20.3,6951
2008-03-04,20.3,20.54,19.52,19.74,8494
2008-03-05,19.73,20.83,19.37,20.76,8041
2008-03-06,20.77,21.19,19.81,20.13,10698
2008-03-07,20.12,20.7,19.8,20.16,9521
2008-03-09,20.13,20.14,20.13,20.14,2
2008-03-10,20.14,20.38,19.19,19.62,8062
2008-03-11,19.63,20.28,19.33,19.64,8475
2008-03-12,19.66,20.16,19.37,20.11,7146
2008-03-13,20.12,20.86,20.07,20.49,6732
2008-03-14,20.48,20.87,20.23,20.61,6194
2008-03-17,20.63,21.33,19.75,20.17,12262
2008-03-18,20.19,20.41,19.5,19.68,9051
2008-03-19,19.68,20.08,18.16,18.36,12526
2008-03-20,18.34,18.35,16.64,16.74,13281
2008-03-21,16.75,16.81,16.49,16.81,67
2008-03-24,16.84,17.2,16.74,17.01,7432
2008-03-25,16.99,17.94,16.85,17.92,6714
2008-03-26,17.92,18.41,17.62,18.41,6971
2008-03-27,18.4,18.61,17.9,18.39,6328
2008-03-28,18.4,18.5,17.6,17.87,6721
2008-03-31,17.85,18.15,17.02,17.21,6961
2008-04-01,17.22,17.37,16.3,16.8,10077
2008-04-02,16.81,17.46,16.67,17.33,7218
2008-04-03,17.33,17.53,16.89,17.33,6952
2008-04-04,17.33,17.78,17.21,17.71,6341
2008-04-07,17.71,18.23,17.67,18.01,4346
2008-04-08,18.02,18.17,17.4,17.65,5388
2008-04-09,17.66,18.37,17.36,18.17,5205
2008-04-10,18.16,18.39,17.79,17.93,6225
2008-04-11,17.93,18.13,17.44,17.71,4634
2008-04-14,17.61,17.86,17.23,17.69,4264
2008-04-15,17.68,18.02,17.62,17.81,4442
2008-04-16,17.82,18.5,17.7,18.28,5792
2008-04-17,18.27,18.7,18.13,18.22,6101
2008-04-18,18.23,18.45,17.37,17.81,6662
2008-04-21,17.86,17.94,17.26,17.45,6194
2008-04-22,17.44,17.93,17.27,17.65,4728
2008-04-23,17.64,17.83,16.97,17.13,7042
2008-04-24,17.13,17.2,16.62,16.73,6718
2008-04-25,16.74,16.88,16.38,16.81,5032
2008-04-28,16.83,17.11,16.76,17.0,3716
2008-04-29,17.0,17.02,16.4,16.53,4664
2008-04-30,16.52,16.86,16.35,16.85,5201
2008-05-01,16.85,17.0,15.97,16.18,6801
2008-05-02,16.2,16.49,16.03,16.36,4854
2008-05-05,16.38,16.79,16.36,16.68,3162
2008-05-06,16.69,16.96,16.57,16.82,4786
2008-05-07,16.81,16.88,16.44,16.61,4498
2008-05-08,16.6,16.93,16.43,16.79,5323
2008-05-09,16.8,17.04,16.45,16.77,5114
2008-05-12,16.82,17.28,16.63,17.13,5171
2008-05-13,17.13,17.24,16.5,16.69,5889
2008-05-14,16.68,16.86,16.5,16.53,5661
2008-05-15,16.52,16.94,16.48,16.68,5392
2008-05-16,16.67,17.03,16.66,16.95,5387
2008-05-19,16.99,17.21,16.81,16.94,4250
2008-05-20,16.94,17.68,16.9,17.62,4630
2008-05-21,17.63,18.08,17.55,17.97,5403
